Event,Primary Source,Historian,Score,Verdict,Reasoning
election_1860,loc_mal_0440500,John G. Nicolay and John Hay,20.0,Contradictory,"The secondary source focuses on Lincoln's greatness and legacy, while the primary source discusses t..."
election_1860,loc_mal_0440500,Henry Ketcham,40.0,Contradictory,"The secondary source focuses on the significance and aftermath of the 1860 election, while the prima..."
election_1860,loc_mal_0440500,None,10.0,Contradictory,"The secondary source discusses Lincoln's early life and career, while the primary source focuses on ..."
election_1860,loc_mal_0440500,None,10.0,Contradictory,The secondary source does not discuss the same claims as the primary source. The secondary source fo...
fort_sumter,loc_mal_0882800,John G. Nicolay and John Hay,10.0,Contradictory,The secondary source does not discuss the primary source at all. The secondary source discusses the ...
fort_sumter,loc_mal_0882800,Henry Ketcham,10.0,Contradictory,The secondary source does not discuss the specific claims made by Lincoln in the primary source rega...
fort_sumter,loc_mal_0882800,"John T. Morse, Jr.",5.0,Contradictory,The secondary source discusses the political climate and motivations behind the Union's actions in 1...
fort_sumter,loc_mal_0882800,Francis Fisher Browne,0.0,Contradictory,"The secondary source discusses Lincoln's biography and ancestry, while the primary source details in..."
fort_sumter,loc_mal_0882800,None,10.0,Contradictory,The secondary source discusses general American political history and makes no mention of the specif...
gettysburg,loc_unknown,"John T. Morse, Jr.",10.0,Contradictory,"The secondary source discusses the political climate and motivations behind the Civil War, particula..."
gettysburg,loc_unknown,None,0.0,Contradictory,"The secondary source discusses Lincoln's biography and early life, while the primary source is Linco..."
gettysburg,loc_unknown,None,10.0,Contradictory,"The secondary source discusses Lincoln's biography and personal life, while the primary source is Li..."
second_inaugural,loc_mal_4361300,John G. Nicolay and John Hay,15.0,Contradictory,The secondary source does not discuss the claims made in Lincoln's second inaugural address. Instead...
second_inaugural,loc_mal_4361300,None,10.0,Contradictory,The secondary source does not discuss the second inaugural address or the Civil War. It focuses on L...
second_inaugural,loc_mal_4361300,"John T. Morse, Jr.",15.0,Contradictory,The secondary source focuses on the political and military actions surrounding slavery and emancipat...
second_inaugural,loc_mal_4361300,None,10.0,Contradictory,"The secondary source focuses on Lincoln's character and legacy, while the primary source discusses t..."
second_inaugural,loc_mal_4361300,None,,,...
